,Period,Time,grid_node,Domestic_electricity,SolarGains
170,3,1,108.0,6.257966265060240,0.0
171,3,1,111.0,3.747012022770050,0.0
172,3,1,120.0,3.9651394374228500,0.0
173,3,1,127.0,1.7522762400000000,0.0
174,3,1,130.0,6.396915662650600,0.0
175,3,1,134.0,28.385381359701100,0.0
176,3,1,140.0,17.850548005748700,0.0
177,3,1,141.0,2.26833696,0.0
178,3,1,143.0,52.360376068935,0.0
179,3,1,151.0,6.594461862180920,0.0
180,3,1,152.0,8.88234709901856,0.0
181,3,1,154.0,2.5783208898735100,0.0
182,3,1,155.0,7.222961641569120,0.0
183,3,1,157.0,2.7323393318236600,0.0
184,3,1,160.0,4.4810369683081,0.0
185,3,1,168.0,9.744628320286910,0.0
186,3,1,171.0,5.99289465810279,0.0
187,3,1,173.0,16.908951064301000,0.0
188,3,1,192.0,2.4510331759036100,0.0
189,3,1,193.0,5.770630656000000,0.0
190,3,1,195.0,5.161669632000000,0.0
191,3,1,196.0,0.69062544,0.0
192,4,1,1.0,1.2813105314225900,0.0
193,4,1,2.0,0.7555330351807230,0.0
194,4,1,5.0,2.366727710843370,0.0
195,4,1,6.0,1.7237590361445800,0.0
196,4,1,10.0,0.02205216,0.0
197,4,1,11.0,3.4609350862650600,0.0
198,4,1,13.0,0.6436240963855420,0.0
199,4,1,16.0,17.196632413245900,0.0
200,4,1,17.0,0.2849156626506020,0.0
201,4,1,19.0,4.502357428546490,0.0
202,4,1,20.0,2.2951209600000000,0.0
203,4,1,21.0,2.777831325301210,0.0
204,4,1,22.0,9.345946694802880,0.0
205,4,1,23.0,9.294343189382130,0.0
206,4,1,24.0,25.856203975903600,0.0
207,4,1,25.0,1.040809638554220,0.0
208,4,1,26.0,8.029637599036150,0.0
209,4,1,27.0,31.037750985420900,0.0
210,4,1,29.0,4.5870285765765800,0.0
211,4,1,33.0,19.456559718574000,0.0
212,4,1,34.0,8.289312390361450,0.0
213,4,1,35.0,4.374441093975900,0.0
214,4,1,38.0,4.490503737913750,0.0
215,4,1,40.0,1.681156626506020,0.0
216,4,1,41.0,13.071565328240800,0.0
217,4,1,45.0,4.414487244542870,0.0
218,4,1,58.0,1.965106265060240,0.0
219,4,1,59.0,2.197153402409640,0.0
220,4,1,61.0,11.066537778301300,0.0
221,4,1,65.0,0.6759948549533120,0.0
222,4,1,67.0,3.2433638400000000,0.0
223,4,1,68.0,11.005430201064900,0.0
224,4,1,73.0,0.9261879518072290,0.0
225,4,1,74.0,3.3471072000000000,0.0
226,4,1,76.0,5.3180915662650600,0.0
227,4,1,89.0,0.5361349397590360,0.0
228,4,1,97.0,0.7408454400000000,0.0
229,4,1,101.0,0.275277108433735,0.0
230,4,1,102.0,1.3948915662650600,0.0
231,4,1,104.0,0.3808000000000000,0.0
232,4,1,105.0,1.4698612800000000,0.0
233,4,1,107.0,7.686490506024100,0.0
234,4,1,108.0,6.257966265060240,0.0
235,4,1,111.0,3.663874486770050,0.0
236,4,1,120.0,3.9651394374228500,0.0
237,4,1,127.0,1.7522762400000000,0.0
238,4,1,130.0,6.396915662650600,0.0
239,4,1,134.0,24.866606575701100,0.0
240,4,1,140.0,17.850548005748700,0.0
241,4,1,141.0,2.26833696,0.0
242,4,1,143.0,52.360376068935,0.0
243,4,1,151.0,6.594461862180920,0.0
244,4,1,152.0,8.88234709901856,0.0
245,4,1,154.0,2.5783208898735100,0.0
246,4,1,155.0,7.222961641569120,0.0
247,4,1,157.0,2.7323393318236600,0.0
248,4,1,160.0,4.4810369683081,0.0
249,4,1,168.0,9.744628320286910,0.0
250,4,1,171.0,5.99289465810279,0.0
